GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,AL1BE001,AL1BE002,AL1BE003,AL1BE004,AL1BE005,AL1BE006,AL1BE007,AL1BE008,AL1BE009,AL1BE010,AL1BE011,NAME_M,ALW1M001,AL1BM001,AL1BM002,AL1BM003,AL1BM004,AL1BM005,AL1BM006,AL1BM007,AL1BM008,AL1BM009,AL1BM010,AL1BM011
"G2000370","2015-2019","KS",,,"Kansas","20","Crawford County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20037",,,"Crawford County, Kansas",41004,6208,300,494,634,407,736,543,296,648,1706,444,"Crawford County, Kansas",2260,353,97,133,141,110,157,155,105,180,258,112
"G2000390","2015-2019","KS",,,"Kansas","20","Decatur County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20039",,,"Decatur County, Kansas",48125,379,18,75,33,34,24,28,22,16,45,84,"Decatur County, Kansas",5615,80,20,41,25,36,19,30,22,15,28,46
"G2000410","2015-2019","KS",,,"Kansas","20","Dickinson County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20041",,,"Dickinson County, Kansas",49991,2325,93,210,252,231,196,156,283,99,520,285,"Dickinson County, Kansas",3791,254,45,94,94,77,75,66,117,68,163,78
"G2000430","2015-2019","KS",,,"Kansas","20","Doniphan County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20043",,,"Doniphan County, Kansas",49703,852,83,126,93,94,70,17,28,53,138,150,"Doniphan County, Kansas",4188,99,37,43,44,34,29,12,21,31,51,49
"G2000450","2015-2019","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20045",,,"Douglas County, Kansas",59435,22854,1060,1748,2746,3083,2333,1749,1549,1599,6090,897,"Douglas County, Kansas",2683,882,230,341,380,499,418,389,341,331,562,279
"G2000470","2015-2019","KS",,,"Kansas","20","Edwards County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20047",,,"Edwards County, Kansas",50902,288,20,22,63,5,17,23,8,10,31,89,"Edwards County, Kansas",2789,61,15,16,38,8,11,18,7,8,17,38
"G2000490","2015-2019","KS",,,"Kansas","20","Elk County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20049",,,"Elk County, Kansas",38750,231,17,13,18,24,22,23,15,6,31,62,"Elk County, Kansas",4149,45,13,10,12,15,15,14,13,8,16,24
"G2000510","2015-2019","KS",,,"Kansas","20","Ellis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20051",,,"Ellis County, Kansas",52883,4483,175,417,442,669,449,562,239,182,946,402,"Ellis County, Kansas",4253,390,112,164,146,196,176,226,123,93,228,175
"G2000530","2015-2019","KS",,,"Kansas","20","Ellsworth County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20053",,,"Ellsworth County, Kansas",54902,553,46,57,90,77,52,24,48,26,61,72,"Ellsworth County, Kansas",5304,126,33,31,49,40,41,15,34,18,33,35
"G2000550","2015-2019","KS",,,"Kansas","20","Finney County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20055",,,"Finney County, Kansas",60798,4461,388,641,824,374,441,347,235,280,640,291,"Finney County, Kansas",4902,357,129,152,184,124,139,130,97,112,171,115
