GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AH1PE001,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH1PM001,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
"G1800790","2013-2017","IN",,,"Indiana","18","Jennings County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18079",,,"Jennings County, Indiana",48362,2766,166,379,448,387,136,101,83,211,594,261,"Jennings County, Indiana",3477,356,100,151,148,150,69,74,51,111,150,94
"G1800810","2013-2017","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18081",,,"Johnson County, Indiana",65272,15893,540,1515,2428,2220,1677,1339,1259,1396,2579,940,"Johnson County, Indiana",2113,897,211,348,445,351,362,353,307,241,456,255
"G1800830","2013-2017","IN",,,"Indiana","18","Knox County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18083",,,"Knox County, Indiana",44837,5390,418,541,679,442,625,310,222,503,1034,616,"Knox County, Indiana",1750,383,140,156,167,124,191,122,115,149,268,159
"G1800850","2013-2017","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18085",,,"Kosciusko County, Indiana",57190,7633,579,936,943,1099,656,404,310,463,1399,844,"Kosciusko County, Indiana",1972,458,173,201,224,260,164,143,134,165,252,195
"G1800870","2013-2017","IN",,,"Indiana","18","LaGrange County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18087",,,"LaGrange County, Indiana",58336,2166,153,308,284,343,160,103,72,181,231,331,"LaGrange County, Indiana",2617,282,95,120,109,127,72,46,40,88,98,117
"G1800890","2013-2017","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18089",,,"Lake County, Indiana",52559,57038,1894,4338,7206,6118,5714,4227,3557,4029,13592,6363,"Lake County, Indiana",814,1228,322,463,551,609,552,543,393,528,859,538
"G1800910","2013-2017","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18091",,,"LaPorte County, Indiana",49921,12258,629,1294,1120,1197,1671,942,678,1139,2593,995,"LaPorte County, Indiana",1962,608,181,302,199,221,276,216,189,233,335,202
"G1800930","2013-2017","IN",,,"Indiana","18","Lawrence County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18093",,,"Lawrence County, Indiana",49985,3909,220,394,614,397,383,360,186,273,590,492,"Lawrence County, Indiana",2106,444,118,148,208,142,132,109,108,102,182,147
"G1800950","2013-2017","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18095",,,"Madison County, Indiana",45432,15953,473,1429,1952,1698,1342,1568,890,1497,3418,1686,"Madison County, Indiana",1143,634,132,263,300,271,215,238,182,297,373,278
"G1800970","2013-2017","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18097",,,"Marion County, Indiana",44869,168781,4364,12167,19026,20135,18083,14689,10581,15881,42410,11445,"Marion County, Indiana",575,2062,492,838,1177,973,950,1095,812,892,1416,786
"G1800990","2013-2017","IN",,,"Indiana","18","Marshall County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18099",,,"Marshall County, Indiana",51869,4231,221,315,460,444,478,211,504,347,678,573,"Marshall County, Indiana",2198,343,84,106,144,157,155,78,175,132,170,136
"G1801010","2013-2017","IN",,,"Indiana","18","Martin County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US18101",,,"Martin County, Indiana",49372,829,95,31,110,64,97,66,35,56,141,134,"Martin County, Indiana",2903,136,59,26,60,47,47,34,28,35,51,64
